P101;If medical advice is needed, have product container or label at hand.
P102;Keep out of reach of children.
P103;Read carefully and follow all instructions.
P201;Obtain special instructions before use.
P202;Do not handle until all safety precautions have been read and understood.
P210;Keep away from heat, hot surfaces, sparks, open flames and other ignition sources. No smoking.
P211;Do not spray on an open flame or other ignition source.
P212;Avoid heating under confinement or reduction of the desensitizing agent
P220;Keep away from clothing and other combustible materials.
P221;Take any precaution to avoid mixing with combustibles %var1%<...>
P222;Do not allow contact with air.
P223;Do not allow contact with water.
P230;Keep wetted with %var1%<...>
P231;Handle and store contents under inert gas/%var1%<...>
P231 + P232;Handle and store contents under inert gas/%var1%<...>. Protect from moisture.
P232;Protect from moisture.
P233;Keep container tightly closed.
P234;Keep only in original packaging.
P235;Keep cool.
P235 + P410;Keep cool. Protect from sunlight.
P240;Ground and bond container and receiving equipment.
P241;Use explosion-proof [electrical/ventilating/lighting/%var1%<...>] equipment.
P242;Use non-sparking tools.
P243;Take action to prevent static discharges.
P244;Keep valves and fittings free from oil and grease.
P250;Do not subject to grinding/shock/friction/%var1%<...> .
P251;Do not pierce or burn, even after use.
P260;Do not breathe dust/fume/gas/mist/vapours/spray.
P261;Avoid breathing dust/fume/gas/mist/vapours/spray.
P262;Do not get in eyes, on skin, or on clothing.
P263;Avoid contact during pregnancy and while nursing.
P264;Wash %var1%<...> thoroughly after handling.
P270;Do not eat, drink or smoke when using this product.
P271;Use only outdoors or in a well-ventilated area.
P272;Contaminated work clothing should not be allowed out of the workplace.
P273;Avoid release to the environment.
P280;Wear protective gloves/protective clothing/eye protection/face protection/hearing protection/%var1%<...>
P281;Use personal protective equipment as required.
P282;Wear cold insulating gloves and either face shield or eye protection.
P283;Wear fire resistant or flame retardant clothing.
P284;[In case of inadequate ventilation] wear respiratory protection.
P285;In case of inadequate ventilation wear respiratory protection.
P301;IF SWALLOWED:
P301 + P310;IF SWALLOWED:  Immediately call a POISON CENTER/doctor/%var1%<...>
P301 + P312;IF SWALLOWED: Call a POISON CENTRE/doctor/%var1%<...> if you feel unwell.
P301 + P330 + P331;IF SWALLOWED: Rinse mouth. Do NOT induce vomiting.
P302;IF ON SKIN:
P302 + P334;IF ON SKIN: Immerse in cool water or wrap in wet bandages.
P302 + P335 + P334;IF ON SKIN: Brush off loose particles from skin. Immerse in cool water [or wrap in wet bandages].
P302 + P350;IF ON SKIN: Gently wash with plenty of soap and water.
P302 + P352;IF ON SKIN: Wash with plenty of water/%var1%<...>
P303;IF ON SKIN (or hair):
P303 + P361 + P353;IF ON SKIN (or hair): Take off immediately all contaminated clothing. Rinse skin with water [or shower].
P304;IF INHALED:
P304 + P312;IF INHALED:  Call a POISON CENTER/doctor/…if you feel unwell.
P304 + P340;IF INHALED:  Remove person to fresh air and keep comfortable for breathing.
P304 + P341;IF INHALED: If breathing is difficult, remove victim to fresh air and keep at rest in a position comfortable for breathing.
P305;IF IN EYES:
P305 + P351 + P338;IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses, if present and easy to do. Continue rinsing.
P306;IF ON CLOTHING:
P306 + P360;IF ON CLOTHING:  Rinse immediately contaminated clothing and skin with plenty of water before removing clothes.
P307;IF exposed:
P307 + P311;IF exposed: Call a POISON CENTER or doctor/physician.
P308;IF exposed or concerned:
P308 + P311;IF exposed or concerned:  Call a POISON CENTER/doctor/%var1%<...>
P308 + P313;IF exposed or concerned:  Get medical advice/attention.
P309;IF exposed or if you feel unwell:
P309 + P311;IF exposed or if you feel unwell: Call a POISON CENTER or doctor/physician.
P310;Immediately call a POISON CENTER/doctor/%var1%<...>
P311;Call a POISON CENTER/doctor/%var1%<...>
